bodytype,Car_seats,modelYear,kilometer,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,gear_box,Mileage,drivetype,city
SUV,5.0,2018,50000,Diesel,2,Manual,1000000,Third Party insurance,1248.0,Maruti,5,24.3,FWD,bangalore
SUV,5.0,2018,46602,Petrol,1,Manual,865000,Comprehensive,1199.0,Honda,5,17.5,FWD,bangalore
SUV,7.0,2014,50000,Diesel,2,Automatic,1000000,Third Party insurance,2696.0,Ssangyong,5,11.18,AWD,bangalore
Hatchback,5.0,2014,104000,Diesel,2,Manual,535000,Comprehensive,1248.0,Maruti,5,25.2,FWD,bangalore
SUV,5.0,2018,90000,Diesel,1,Manual,975000,Comprehensive,1498.0,Ford,5,23.0,FWD,bangalore
Hatchback,5.0,2017,50035,Petrol,1,Manual,699000,Third Party insurance,1197.0,Maruti,5,21.4,FWD,bangalore
SUV,5.0,2021,80000,Petrol,1,Manual,1150000,Third Party insurance,1199.0,Tata,6,17.57,FWD,bangalore
Hatchback,5.0,2015,90000,Petrol,2,Manual,625000,Comprehensive,1197.0,Hyundai,5,18.6,FWD,bangalore
Sedan,5.0,2011,90000,Diesel,4,Automatic,1000000,Third Party insurance,2143.0,Mercedes-Benz,5,14.21,RWD,bangalore
Sedan,5.0,2011,120000,Diesel,1,Manual,600000,Third Party insurance,1364.0,Toyota,6,21.43,FWD,bangalore
